fir_number,district,police_station,crime_type,ipc_bns_sections,incident_date,report_date,location_description,latitude,longitude,complainant_name,complainant_age,complainant_gender,complainant_contact,accused_name,accused_age,accused_gender,accused_count,weapon_used,property_loss_inr,case_status,case_outcome,investigating_officer,severity,is_juvenile_involved
0587/2024,Bengaluru Urban,Indiranagar PS,Cybercrime - Online Fraud,"66D IT Act, 318",2024-11-10,2024-11-12,"65, Naidu Ganj",18.42991,75.026785,Caleb Borde,24,Female,3187296360,Unknown,,,0,None,23214.11,Case Withdrawn,,PSI Sahni,Medium,No
0588/2025,Mangaluru,Kankanady PS,Kidnapping,"363, 137",2025-09-15,2025-09-20,"02/643, Saxena Circle",14.226992,76.971997,Balvan Kothari,44,Male,08008578959,Hamsini Sridhar; Madhav Ray,35,Male,2,None,0,Under Investigation,,PSI Varty,High,No
0589/2024,Mangaluru,Mangaladevi PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2024-01-30,2024-02-02,"H.No. 90, Thaker Ganj",14.650675,76.376452,Gaurangi Deol,64,Other,+915721166299,Nikita Cheema; Ekaraj Majumdar,43,Female,2,None,0,Charge Sheet Filed,Compounded,DySP Sengupta,High,No
0590/2020,Davanagere,Vidyanagar PS,Theft,"379, 303",2020-02-07,2020-02-08,"42/529, Ahuja Road",12.33191,76.680732,Gavin Badami,34,Male,09074209941,Unknown,,,0,None,145922.39,Charge Sheet Filed,Dismissed,SI Viswanathan,Low,No
0591/2018,Mangaluru,Kankanady PS,Domestic Violence,"498A, 85",2018-07-30,2018-08-03,"H.No. 06, Reddy Road",11.810065,74.602155,Hema Som,46,Female,+918133173529,Dayita Date; Samar Basak; Vedant Mukherjee,32,Female,3,Acid,0,Pending Court Trial,Pending,SI Kibe,Medium,No
0592/2021,Hubballi-Dharwad,Dharwad Rural PS,Rioting,"147, 191",2021-06-17,2021-06-17,"59/297, Krishnan Chowk",12.615753,74.63328,Chakradev Ahluwalia,74,Female,5085221783,Advik Jha; Yutika Datta; Charita Om,26,Female,3,Blunt Object,0,Acquitted,Compounded,DySP Karpe,Low,No
0593/2018,Bengaluru Urban,Banashankari PS,Chain Snatching,"356, 304",2018-05-20,2018-05-20,"213, Choudhry Path",17.413982,75.707529,Neel Gaba,59,Male,+911181734124,Unknown,,,0,None,169845.98,Charge Sheet Filed,Pending,CPI Din,Medium,No
0594/2023,Ballari,Cowl Bazar PS,Chain Snatching,"356, 304",2023-03-23,2023-03-27,"59, Bera Street",16.886237,77.347483,Lucky Atwal,54,Female,6346126198,Oscar Dalal; Rishi Kuruvilla; Damyanti Bali,29,Other,3,None,41573.64,Under Investigation,,CPI Dube,Medium,No
0595/2023,Kalaburagi,Brahmapur PS,Chain Snatching,"356, 304",2023-02-17,2023-02-19,"86/065, Rajan Street",17.676108,74.376883,Hemang Lad,53,Female,08122572785,Unknown,,,0,None,247986.18,Case Closed,Settled Out of Court,SI Anne,Medium,No
0596/2019,Shivamogga,Town PS,Burglary,"331(4), 305",2019-02-05,2019-02-07,"H.No. 12, Virk Nagar",15.064405,76.696289,Manan Verma,36,Female,+911203198101,Victor Padmanabhan; Ishaan Devan; Lohit Goswami,46,Male,3,None,85205.15,FIR Registered,,DySP Mohanty,Medium,No
0597/2025,Shivamogga,Vinoba Nagar PS,Hit and Run,"304A, 106",2025-12-04,2025-12-07,"47, Basak Marg",18.31076,75.978002,Urvashi Luthra,59,Female,03096241958,Hritik Vaidya; Naksh Shroff,18,Female,2,None,0,Under Investigation,,DySP Ghose,Low,No
0598/2021,Tumakuru,Bharathinagar PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2021-03-13,2021-03-14,"98, Prashad Street",13.032462,77.169823,Riya Bhatnagar,39,Other,+915364912802,Upkaar Brar,53,Other,1,None,0,Charge Sheet Filed,Pending,CPI Rajagopalan,High,No
0599/2022,Hubballi-Dharwad,Vidyanagar PS,Cybercrime - Phishing,"66C IT Act, 319",2022-04-21,2022-04-26,"60/31, Tara Nagar",16.695711,76.66826,Qadim Kumer,60,Male,+910199132691,Mason Bhat; Aahana Das,22,Other,2,None,170290.75,Case Closed,Dismissed,DySP Garde,Medium,No
0600/2020,Ballari,Bruhat Bangalore PS,Vehicle Theft,"379, 303",2020-01-20,2020-01-20,"952, Subramaniam Ganj",12.742069,76.632022,Niharika Buch,69,Female,1904562916,Xavier Khanna; Matthew Srinivasan,36,Female,2,None,438940.0,Under Investigation,,SI De,Medium,No
0601/2023,Ballari,Cowl Bazar PS,Domestic Violence,"498A, 85",2023-08-09,2023-08-14,"07/665, Devan Zila",14.323897,77.398917,Harshil Vig,46,Female,+916260677157,Sai Dash,60,Male,1,Knife,0,Under Investigation,,Inspector Munshi,Medium,No
0602/2023,Hubballi-Dharwad,Vidyanagar PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2023-03-17,2023-03-17,"H.No. 081, Goyal Path",15.620843,77.498951,Jonathan Ratta,63,Other,+917393179391,Daniel Gera,25,Other,1,None,0,Case Closed,Settled Out of Court,PSI Dyal,High,No
0603/2024,Tumakuru,Bharathinagar PS,Public Nuisance,"268, 270",2024-12-22,2024-12-26,"12/325, Parmer",11.927494,74.577836,Vedika Pradhan,32,Other,+912517674838,Aahana Chaudhari; Samaksh Dasgupta,50,Female,2,None,0,Under Investigation,,Inspector Agrawal,Low,No
0604/2025,Belagavi,Shahapur PS,Theft,"379, 303",2025-06-13,2025-06-15,"42/930, Kothari Ganj",14.131322,74.682756,Unni Dube,49,Female,9081804087,Kritika Sheth,34,Female,1,None,394066.96,Charge Sheet Filed,Dismissed,Inspector Sen,Low,Yes
0605/2020,Davanagere,P.G. Halli PS,Burglary,"331(4), 305",2020-03-13,2020-03-13,"86, Goyal Zila",11.625629,76.390277,Harrison Ranganathan,26,Female,+913218228450,Kevin Bali,50,Female,1,None,73131.45,FIR Registered,,PSI Sunder,Medium,Yes
0606/2020,Tumakuru,City PS,Cybercrime - Online Fraud,"66D IT Act, 318",2020-07-11,2020-07-13,"46/55, Sabharwal Zila",12.782031,77.540163,Deepa Ahluwalia,65,Male,+910191895140,Alka Sathe; Turvi Sami,35,Male,2,None,452207.19,Convicted,Pending,Inspector Goda,Medium,No
0607/2021,Mangaluru,Mangaladevi PS,Cybercrime - Phishing,"66C IT Act, 319",2021-12-09,2021-12-10,"963, Dara Ganj",16.09369,77.885985,Gopal Iyengar,30,Male,+913803670248,Unknown,,,0,None,165979.21,Acquitted,Compounded,DySP Prasad,Medium,No
0608/2020,Mysuru,Krishnaraja PS,Extortion,"384, 308",2020-12-19,2020-12-21,"82/719, Pandit Path",14.935014,75.531505,Nitara Bobal,44,Other,7851135080,Eta Chakrabarti; Parth Narain,38,Female,2,Firearm,14940.35,Convicted,Compounded,PSI Nayar,High,No
0609/2024,Mysuru,Vijayanagar PS,Counterfeiting,"489B, 178",2024-06-16,2024-06-18,"612, Gour",12.586169,74.155927,Ishanvi Mukhopadhyay,19,Female,03696131883,Janani Merchant,58,Female,1,None,0,Pending Court Trial,Convicted,PSI Wali,Low,No
0610/2019,Shivamogga,Vinoba Nagar PS,Cybercrime - Online Fraud,"66D IT Act, 318",2019-06-23,2019-06-25,"H.No. 63, Magar Circle",15.312654,74.173342,Azaan Sankar,37,Male,04765474522,Ekanta Kari; Jhalak Sawhney,46,Male,2,None,171372.99,Under Investigation,,Inspector Kulkarni,Medium,No
0611/2025,Mangaluru,Mangaladevi PS,Domestic Violence,"498A, 85",2025-05-31,2025-06-04,"77, Saha Path",17.751513,74.989694,Nisha Mohanty,29,Female,+912263933401,Chanakya Atwal; Patrick Kar; Baghyawati Brar,27,Female,3,Blunt Object,0,Under Investigation,,Inspector Prashad,Medium,No
0612/2020,Mysuru,Vijayanagar PS,Assault,"323, 115",2020-12-26,2020-12-28,"H.No. 38, Borah Ganj",12.803707,75.011082,Aarav Srinivasan,67,Male,1617639411,Rachit Khosla; Ethan Batta,47,Other,2,Firearm,0,Convicted,Dismissed,Inspector Rao,Medium,No
0613/2020,Mangaluru,Kankanady PS,Robbery,"392, 309",2020-11-25,2020-11-27,"57, Comar Nagar",11.706972,75.849809,Abhiram Mistry,31,Other,+917153078294,Chasmum Narula,42,Other,1,Sharp Weapon,133984.58,Under Investigation,,CPI Vora,High,No
0614/2024,Kalaburagi,Station Bazaar PS,Arson,"436, 324",2024-05-21,2024-05-25,"H.No. 992, Chand",17.200078,76.213839,Hemani Taneja,40,Male,4645303277,Orinder Bera; Hemani Kashyap,55,Male,2,None,0,FIR Registered,,ASI Contractor,High,No
0615/2024,Mangaluru,Bunder PS,Public Nuisance,"268, 270",2024-11-24,2024-11-26,"92/837, Mukherjee Marg",16.658398,77.270384,Dayita Pillai,55,Male,03181661721,Isha Arora,29,Male,1,None,0,Case Closed,Dismissed,CPI Dasgupta,Low,No
0616/2021,Hubballi-Dharwad,Hubballi Old City PS,Robbery,"392, 309",2021-10-19,2021-10-21,"62/945, Bains Circle",14.820569,77.819942,Avi Pant,72,Male,04492263149,Indali Soni,37,Other,1,Sharp Weapon,206331.4,Convicted,Pending,DySP Korpal,High,No
0617/2021,Hubballi-Dharwad,Vidyanagar PS,Chain Snatching,"356, 304",2021-03-19,2021-03-21,"H.No. 78, Lall Road",15.499319,74.566721,Chakradhar Bose,54,Female,+919088437073,Frado Nori,59,Female,1,None,239773.69,Charge Sheet Filed,Convicted,ASI Rajan,Medium,Yes
0618/2020,Mangaluru,Mangaladevi PS,Vehicle Theft,"379, 303",2020-04-09,2020-04-11,"H.No. 68, Palla Circle",15.803697,76.58236,Daksh Kala,22,Male,9329943238,Jairaj Swaminathan; David Deshpande; Ojasvi Batta,20,Other,3,None,216408.84,FIR Registered,,CPI Kothari,Medium,No
0619/2024,Mysuru,Vijayanagar PS,Chain Snatching,"356, 304",2024-07-31,2024-07-31,"19/291, Karnik Marg",17.308024,75.445766,Avni Mitter,70,Other,07529000053,Unknown,,,0,None,18353.66,Under Investigation,,DySP Dash,Medium,No
0620/2021,Kalaburagi,Station Bazaar PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2021-01-08,2021-01-08,"31, Batra Road",16.735625,77.999124,Aadhya Dixit,48,Female,5946842440,Unknown,,,0,None,0,Pending Court Trial,Convicted,CPI Khatri,High,No
0621/2018,Mysuru,Nazarbad PS,Burglary,"331(4), 305",2018-04-27,2018-04-30,"34/20, Bala Nagar",15.746497,77.980094,Fiyaz Nigam,21,Other,0197697728,Krish Loke; Odika Bedi,20,Other,2,None,326763.9,Case Closed,Convicted,Inspector Sridhar,Medium,No
0622/2022,Belagavi,Tilakwadi PS,Theft,"379, 303",2022-08-09,2022-08-11,"H.No. 256, Sant Ganj",16.261402,78.359818,Megha Yogi,44,Male,05744458692,Krisha Dey; Pratyush Dey,34,Female,2,None,382483.28,Case Closed,Compounded,ASI Grover,Low,No
0623/2025,Davanagere,Vidyanagar PS,Assault,"323, 115",2025-09-18,2025-09-18,"75/691, Balasubramanian Road",15.014048,78.298123,Yashasvi Baral,19,Male,04938233269,Victor Randhawa; Anmol Sharaf,52,Other,2,Sharp Weapon,0,Case Closed,Dismissed,DySP Agrawal,Medium,No
0624/2020,Tumakuru,Bharathinagar PS,Hit and Run,"304A, 106",2020-10-20,2020-10-23,"990, Saran Zila",11.764774,77.952414,Janani Saha,69,Other,+917427755497,Unknown,,,0,None,0,Pending Court Trial,Dismissed,Inspector Pillay,Low,No
0625/2020,Ballari,Bruhat Bangalore PS,Arson,"436, 324",2020-04-20,2020-04-22,"H.No. 593, Suri Circle",11.850167,77.610723,Xalak Dutta,33,Male,08412976998,Qabil Gulati; Chaitanya Hayre; Advik Randhawa,40,Other,3,None,0,Acquitted,Compounded,PSI Modi,High,No
0626/2018,Shivamogga,Vinoba Nagar PS,Fraud/Cheating,"420, 318",2018-10-26,2018-10-28,"44/71, Kari Ganj",12.03568,74.193347,Ganga Mane,45,Male,+919558361941,Faris Contractor; Garima Merchant; Kiaan Madan,24,Other,3,None,316436.34,Convicted,Settled Out of Court,SI Sandhu,Medium,No
0627/2020,Ballari,Cowl Bazar PS,Extortion,"384, 308",2020-05-27,2020-05-31,"62/658, Bava",18.179166,76.275272,Ekapad Krishnamurthy,45,Female,09754823291,Zayyan Mital; Amaira Das,21,Female,2,Blunt Object,204709.47,FIR Registered,,CPI Mani,High,No
0628/2018,Bengaluru Urban,Koramangala PS,Cybercrime - Online Fraud,"66D IT Act, 318",2018-05-29,2018-06-03,"82, Majumdar Ganj",11.512674,77.531071,Warda Nayar,61,Female,07758170849,Odika Kurian; Kala Konda,32,Female,2,None,19850.74,Charge Sheet Filed,Compounded,DySP Bera,Medium,No
0629/2026,Davanagere,Vidyanagar PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2026-04-16,2026-04-21,"H.No. 152, Ray Street",13.401687,76.986327,Vihaan Walia,67,Female,+919145428050,Timothy Mallick; Patrick Keer; Neelima Vora,49,Female,3,None,0,FIR Registered,,ASI Apte,High,No
0630/2022,Mangaluru,Kankanady PS,Chain Snatching,"356, 304",2022-12-30,2023-01-04,"83, Randhawa Zila",17.153914,74.500301,Bimala Nori,49,Other,1924165799,Omisha Sandal; Aadi Bose; Shivansh Ray,32,Male,3,None,190119.95,Under Investigation,,SI Ramaswamy,Medium,No
0631/2020,Belagavi,Shahapur PS,Vehicle Theft,"379, 303",2020-12-24,2020-12-25,"68/18, Pingle Marg",15.094406,77.099246,Suhani Wason,40,Female,09273832894,Unknown,,,0,None,185921.32,Acquitted,Settled Out of Court,SI Savant,Medium,No
0632/2026,Mysuru,Nazarbad PS,Robbery,"392, 309",2026-04-08,2026-04-11,"01/939, Bains Zila",15.081051,77.393395,Harini Sarraf,47,Female,08618496444,Chandresh Rai; Balveer Chauhan,43,Male,2,Knife,119514.09,Convicted,Acquitted,Inspector Bala,High,No
0633/2020,Mangaluru,Bunder PS,Eve Teasing/Harassment,"354, 354A",2020-09-28,2020-10-01,"582, Iyer Chowk",12.308987,74.655061,Chakrika Bahl,37,Other,+910643836713,Karan Kalla; Triveni Gour; Ladli Mukhopadhyay,29,Other,3,None,0,Charge Sheet Filed,Convicted,Inspector Lanka,Low,Yes
0634/2019,Hubballi-Dharwad,Dharwad Rural PS,Burglary,"331(4), 305",2019-10-16,2019-10-19,"38, Sethi",14.179479,76.372823,David Seshadri,73,Female,+914824809597,Liam Chacko; Lakshit Ghosh; Aayush Chokshi,27,Male,3,None,190959.69,Under Investigation,,DySP Batra,Medium,No
0635/2021,Ballari,Cowl Bazar PS,Eve Teasing/Harassment,"354, 354A",2021-04-23,2021-04-24,"966, Mahajan Nagar",16.648199,76.520611,Patrick Sarraf,66,Male,9497996557,Anthony Shanker; Oliver Mistry,49,Male,2,None,0,Charge Sheet Filed,Acquitted,PSI Dave,Low,No
0636/2020,Kalaburagi,Brahmapur PS,Eve Teasing/Harassment,"354, 354A",2020-08-31,2020-09-05,"860, Sahni Path",16.430066,77.894108,Siddharth Konda,63,Other,07315409671,Unknown,,,0,None,0,Case Withdrawn,,ASI Sharma,Low,No
0637/2020,Hubballi-Dharwad,Hubballi Old City PS,Arson,"436, 324",2020-02-10,2020-02-15,"33, Gokhale Road",12.684268,76.549561,Garima Devan,63,Female,3066311973,Unknown,,,0,None,0,Charge Sheet Filed,Compounded,ASI Venkatesh,High,No
0638/2023,Tumakuru,Bharathinagar PS,Fraud/Cheating,"420, 318",2023-08-23,2023-08-27,"588, Chaudry Marg",12.405957,77.112978,Geetika Bir,67,Male,00288577015,Unknown,,,0,None,304810.8,FIR Registered,,DySP Banerjee,Medium,No
0639/2022,Mysuru,Nazarbad PS,Eve Teasing/Harassment,"354, 354A",2022-07-25,2022-07-26,"63/710, Khurana Street",14.855977,77.760751,Vidhi Mittal,54,Male,02394479804,Krishna Subramanian; David Khatri; Abha Raj,32,Male,3,None,0,Case Closed,Dismissed,Inspector Modi,Low,Yes
0640/2025,Belagavi,Tilakwadi PS,Assault,"323, 115",2025-03-26,2025-03-31,"16, Agate Nagar",14.851121,74.647178,Indali Rajagopalan,57,Other,00053138033,Radhika Hora; Radhika Sarraf,37,Male,2,None,0,Under Investigation,,CPI Sahni,Medium,No
0641/2021,Tumakuru,City PS,Counterfeiting,"489B, 178",2021-07-31,2021-08-04,"47/288, Samra Nagar",17.865217,75.978848,Rohan Dugar,19,Female,2683887712,Megha Purohit; Ishaan Varma,47,Male,2,None,0,Case Withdrawn,,PSI Sinha,Low,No
0642/2020,Mangaluru,Mangaladevi PS,Hit and Run,"304A, 106",2020-02-12,2020-02-13,"78, Biswas Nagar",16.802903,74.102649,Shivani Kalita,41,Other,2884086409,Unknown,,,0,None,0,Under Investigation,,Inspector Som,Low,No
0643/2026,Kalaburagi,Station Bazaar PS,Rioting,"147, 191",2026-03-12,2026-03-16,"39/968, Krishna Chowk",11.546256,74.048783,Krishna Samra,47,Female,02129622916,Benjamin Sem; Riya Dalal,34,Other,2,None,0,Pending Court Trial,Settled Out of Court,ASI Tak,Low,No
0644/2022,Bengaluru Urban,Jayanagar PS,Cybercrime - Phishing,"66C IT Act, 319",2022-12-25,2022-12-27,"66, Kar Street",13.99171,75.009604,Megha Vasa,54,Female,0811087168,Yochana Bumb; Darpan Sur,40,Male,2,None,236543.44,Acquitted,Pending,Inspector Peri,Medium,Yes
0645/2025,Shivamogga,Vinoba Nagar PS,Domestic Violence,"498A, 85",2025-07-28,2025-08-02,"H.No. 75, Kalita Nagar",15.329311,76.101846,Radha Kale,62,Female,6500705253,Guneet Bhatia; Turvi Bhattacharyya,41,Male,2,Knife,0,Under Investigation,,PSI Deol,Medium,Yes
0646/2023,Mangaluru,Bunder PS,Public Nuisance,"268, 270",2023-11-05,2023-11-07,"H.No. 38, Warrior",12.30425,74.835003,Geetika Krish,62,Female,+916496310425,Unknown,,,0,None,0,Pending Court Trial,Settled Out of Court,CPI Raju,Low,No
0647/2026,Davanagere,P.G. Halli PS,Cybercrime - Online Fraud,"66D IT Act, 318",2026-01-11,2026-01-15,"13/234, Wason Circle",11.794041,78.154423,Omkaar Divan,67,Female,00909700914,Yashoda Venkataraman,23,Other,1,None,89104.49,Convicted,Acquitted,PSI Garg,Medium,No
0648/2023,Tumakuru,Bharathinagar PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2023-01-03,2023-01-08,"H.No. 31, Dalal Street",15.954841,76.101839,Isaiah Jani,41,Other,1231028427,Unknown,,,0,None,0,Case Closed,Convicted,Inspector Yogi,High,No
0649/2024,Mangaluru,Mangaladevi PS,Arson,"436, 324",2024-09-11,2024-09-13,"52/412, Koshy Path",16.457135,77.298348,Tamanna Joshi,23,Female,02637794623,Unknown,,,0,None,0,Convicted,Dismissed,SI Pai,High,No
0650/2025,Kalaburagi,Brahmapur PS,Murder,"302, 103",2025-04-23,2025-04-24,"61/80, Ramakrishnan Path",12.219992,75.662122,Aryan Kohli,21,Other,0567989098,Unknown,,,0,Knife,0,Charge Sheet Filed,Pending,SI Kara,High,No
0651/2020,Shivamogga,Town PS,Cybercrime - Online Fraud,"66D IT Act, 318",2020-08-18,2020-08-19,"646, Comar",16.342757,74.891682,Pranav Reddy,21,Other,08149539365,Bhavani Kamdar,20,Male,1,None,298651.69,Acquitted,Acquitted,PSI Seshadri,Medium,No
0652/2025,Davanagere,P.G. Halli PS,Robbery,"392, 309",2025-09-21,2025-09-22,"H.No. 091, Tailor Circle",14.159052,78.025755,Tamanna Dutt,46,Male,7019911024,Lakshmi Tailor,32,Other,1,None,96972.96,Acquitted,Convicted,SI Sharma,High,No
0653/2021,Kalaburagi,Brahmapur PS,Eve Teasing/Harassment,"354, 354A",2021-03-03,2021-03-04,"018, Mand Street",12.728515,77.290243,Manthan Arya,20,Female,+912548845789,Unknown,,,0,None,0,Case Closed,Dismissed,PSI Purohit,Low,No
0654/2022,Belagavi,Tilakwadi PS,Extortion,"384, 308",2022-02-13,2022-02-16,"95, Halder Marg",13.763099,75.71571,Amol Khatri,31,Male,+919423515188,Unknown,,,0,Acid,202654.61,Under Investigation,,Inspector Chand,High,No
0655/2019,Ballari,Bruhat Bangalore PS,Counterfeiting,"489B, 178",2019-07-03,2019-07-03,"H.No. 905, Saran Zila",15.169822,77.731486,Champak Baria,24,Female,5637366815,Bina Buch; Advaith Ramesh; Yashica Nanda,20,Male,3,None,0,Convicted,Acquitted,DySP Ahluwalia,Low,No
0656/2023,Mysuru,Krishnaraja PS,Public Nuisance,"268, 270",2023-06-11,2023-06-15,"46/16, Batta",13.271527,74.821645,Indali Tara,61,Female,5277509480,Chakradhar Ahuja,57,Other,1,None,0,Under Investigation,,ASI Mohan,Low,No
0657/2019,Tumakuru,Bharathinagar PS,Kidnapping,"363, 137",2019-07-05,2019-07-10,"413, Sathe Circle",15.051534,77.864153,Bhavini Natt,52,Other,5810663178,Omisha Ganguly; Qarin Chawla,39,Male,2,None,0,Charge Sheet Filed,Compounded,DySP Seth,High,No
0658/2022,Mysuru,Nazarbad PS,Robbery,"392, 309",2022-02-25,2022-02-28,"83/60, Setty Zila",12.860773,75.795589,Max Kapur,51,Female,0580312122,Shaurya Sarma; Ati Thakkar; Darsh Nori,60,Female,3,Rope,74194.79,FIR Registered,,CPI Dhawan,High,No
0659/2018,Kalaburagi,Station Bazaar PS,Kidnapping,"363, 137",2018-11-07,2018-11-10,"23, Kar Nagar",18.380056,76.103764,Pavani Swamy,28,Other,4745799295,Kamala Yogi; Charles Chawla; Hardik Kannan,48,Male,3,None,0,Charge Sheet Filed,Convicted,Inspector Chowdhury,High,No
0660/2023,Bengaluru Urban,Jayanagar PS,Arson,"436, 324",2023-03-04,2023-03-05,"H.No. 10, Subramaniam Marg",16.329441,77.325831,Janya Handa,23,Female,+912882584117,Pranit Sami; Manbir Gole; Waida Sodhi,42,Other,3,None,0,Convicted,Acquitted,PSI Dani,High,No
0661/2024,Mysuru,Vijayanagar PS,Hit and Run,"304A, 106",2024-08-30,2024-09-02,"H.No. 41, Naik Path",18.011277,74.878523,Ganga Tara,35,Female,2537392245,Amruta Cheema; Chandani Barman; Gayathri Boase,39,Female,3,None,0,Pending Court Trial,Convicted,Inspector Raghavan,Low,No
0662/2021,Kalaburagi,Station Bazaar PS,Arson,"436, 324",2021-01-01,2021-01-01,"946, Grover Circle",14.685589,75.707248,Viraj Contractor,29,Male,+911840653024,Ekaraj Pal; Jagat Bir; Yashoda Sule,32,Female,3,None,0,Pending Court Trial,Compounded,PSI Lala,High,No
0663/2021,Mysuru,Nazarbad PS,Burglary,"331(4), 305",2021-07-09,2021-07-13,"H.No. 39, Bajaj Road",11.664276,77.849782,Zaitra Dave,58,Other,+913659664967,Unknown,,,0,None,450784.53,Charge Sheet Filed,Settled Out of Court,PSI Aurora,Medium,No
0664/2021,Davanagere,Vidyanagar PS,Vehicle Theft,"379, 303",2021-10-31,2021-10-31,"H.No. 638, Dasgupta Path",15.373516,77.139493,Ekaraj Ghose,71,Other,+916033225607,Bhavya Lad; Thomas Raghavan,30,Male,2,None,37620.68,Pending Court Trial,Acquitted,Inspector Thaker,Medium,No
0665/2019,Hubballi-Dharwad,Dharwad Rural PS,Eve Teasing/Harassment,"354, 354A",2019-05-08,2019-05-11,"264, Ray Marg",16.160455,78.259653,Zayan Sehgal,23,Female,09671717875,Pushti Dhingra,54,Other,1,None,0,Pending Court Trial,Convicted,Inspector Kibe,Low,No
0666/2019,Ballari,Bruhat Bangalore PS,Murder,"302, 103",2019-01-08,2019-01-13,"25/65, Bala Ganj",18.229659,75.551516,Libni Krishnamurthy,37,Male,0358049530,Urvi Murthy; Abhiram Divan,28,Other,2,Blunt Object,0,Charge Sheet Filed,Acquitted,Inspector Kara,High,No
0667/2019,Tumakuru,City PS,Extortion,"384, 308",2019-10-19,2019-10-22,"95/948, Narula Path",15.253826,75.044528,Anvi Kaul,52,Female,7353249849,Unknown,,,0,Firearm,423785.56,Convicted,Convicted,Inspector Mitter,High,No
0668/2018,Belagavi,Shahapur PS,Domestic Violence,"498A, 85",2018-02-14,2018-02-17,"H.No. 81, Aggarwal Circle",14.176039,75.765325,Omaja Kuruvilla,67,Male,+910974205181,Arjun Singh; Vincent Lall,52,Other,2,Acid,0,Case Closed,Dismissed,Inspector Vala,Medium,No
0669/2019,Shivamogga,Town PS,Assault,"323, 115",2019-11-22,2019-11-27,"79, Sathe Ganj",12.352138,75.873974,Daniel Yohannan,50,Other,06349468420,Michael Dubey; Amara Mann,31,Other,2,Vehicle,0,Convicted,Dismissed,SI Bath,Medium,No
0670/2024,Bengaluru Urban,Whitefield PS,Cybercrime - Online Fraud,"66D IT Act, 318",2024-06-01,2024-06-04,"33/000, Tandon Road",13.558428,76.6775,Mohammed Sastry,66,Female,1592113745,Unknown,,,0,None,113003.98,Charge Sheet Filed,Settled Out of Court,SI Dugar,Medium,No
0671/2020,Tumakuru,City PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2020-03-22,2020-03-26,"07/08, Kohli Chowk",14.030629,76.461319,Bhavani Wable,49,Female,+911599518828,Unknown,,,0,None,0,Pending Court Trial,Acquitted,CPI Halder,High,No
0672/2019,Kalaburagi,Brahmapur PS,Assault,"323, 115",2019-08-24,2019-08-28,"097, Soman Ganj",13.189664,76.535253,Damyanti Bains,19,Female,+918639734609,Unknown,,,0,Vehicle,0,Under Investigation,,DySP Gopal,Medium,No
0673/2025,Tumakuru,Bharathinagar PS,Domestic Violence,"498A, 85",2025-03-14,2025-03-17,"H.No. 12, Das Street",17.63675,75.604277,Fiyaz Bhatti,74,Male,+912724104914,Unknown,,,0,Firearm,0,Case Closed,Convicted,SI Shenoy,Medium,No
0674/2021,Hubballi-Dharwad,Vidyanagar PS,Counterfeiting,"489B, 178",2021-09-04,2021-09-04,"H.No. 15, Kashyap Ganj",12.283643,75.784183,Veda Yogi,43,Male,9238334937,Damyanti Ram; Jatin Taneja; Chakrika Sibal,26,Male,3,None,0,FIR Registered,,ASI Rai,Low,No
0675/2025,Tumakuru,City PS,Domestic Violence,"498A, 85",2025-08-25,2025-08-30,"11/983, Dora Path",14.810119,78.151451,Eiravati Ram,29,Male,00206449183,Vinaya Mani; Mohini Rana; Manthan Hari,34,Female,3,Firearm,0,FIR Registered,,SI Jhaveri,Medium,No
0676/2020,Mangaluru,Bunder PS,Murder,"302, 103",2020-07-15,2020-07-15,"H.No. 44, Kothari Nagar",15.90911,77.179848,Balvan Sachdev,62,Other,03530490123,Raagini Gour; Ranbir Seshadri; Kashvi Dani,21,Female,3,Acid,0,Pending Court Trial,Settled Out of Court,PSI Toor,High,No
0677/2025,Belagavi,Shahapur PS,Cybercrime - Online Fraud,"66D IT Act, 318",2025-03-10,2025-03-14,"H.No. 85, Doshi Chowk",16.059679,76.38265,Chatura Viswanathan,29,Other,8914447181,Urvashi Dora,48,Other,1,None,164934.21,Case Closed,Pending,CPI Savant,Medium,No
0678/2022,Hubballi-Dharwad,Dharwad Rural PS,Extortion,"384, 308",2022-09-30,2022-10-01,"01/049, Pai Path",15.463584,75.303928,Bhavika Trivedi,73,Other,+919590876258,Nikita Vaidya,43,Female,1,Sharp Weapon,456850.08,Pending Court Trial,Settled Out of Court,SI Bose,High,No
0679/2023,Hubballi-Dharwad,Hubballi Old City PS,Extortion,"384, 308",2023-05-09,2023-05-10,"82/830, Sen Street",15.992483,78.409053,Indali Mangal,38,Female,02455507166,Vidhi Barman; Nirja Raghavan; Rachana Minhas,60,Male,3,Sharp Weapon,175900.37,Under Investigation,,CPI Chaudhari,High,No
0680/2020,Hubballi-Dharwad,Hubballi Old City PS,Counterfeiting,"489B, 178",2020-01-11,2020-01-14,"71/15, Sagar Ganj",12.742358,75.302781,Bhanumati Sharma,30,Other,+919838299244,Arin Tella; Luke Pau; Timothy Suri,48,Other,3,None,0,Under Investigation,,CPI Gokhale,Low,No
